experiment,experiment_label,experiment_color,condition_label,algorithm,mu,seed,mean_norm_c0,mean_norm_c1,influence_ratio_c1_to_c0,macro_f1,rare_avg_f1,has_drop,has_sh_fixed,has_sh_random,pc_mu_c0,pc_mu_c1,pc_lr_c0,pc_lr_c1,loss_type
baseline_node_pinned,Node-pinned symmetric,#7FBF94,fedprox μ=0.01,fedprox,0.01,42,0.2013442699799155,0.736689974764026,3.6588574129152636,0.4831267705073979,0.304356475034812,False,False,False,,,,,ce
baseline_node_pinned,Node-pinned symmetric,#7FBF94,fedavg,fedavg,0.0,42,0.25412276362803715,0.8879603233768123,3.494217954738331,0.4702309023787817,0.29477141432802556,False,False,False,,,,,ce
baseline_node_pinned,Node-pinned symmetric,#7FBF94,fedprox μ=0.01,fedprox,0.01,123,0.19611083567997897,0.7137792592642112,3.6396727227708263,0.5221559354929673,0.3899022870797064,False,False,False,,,,,ce
baseline_node_pinned,Node-pinned symmetric,#7FBF94,fedprox μ=0.01,fedprox,0.01,456,0.19683175395752264,0.7185864830806767,3.6507650246095538,0.48636115369720717,0.2889217863311127,False,False,False,,,,,ce
baseline_node_pinned,Node-pinned symmetric,#7FBF94,fedavg,fedavg,0.0,123,0.23812320092171654,0.8643651203339275,3.6299071950493778,0.5034345222369334,0.3590986262371334,False,False,False,,,,,ce
baseline_node_pinned,Node-pinned symmetric,#7FBF94,fedavg,fedavg,0.0,456,0.2631746887079311,0.8722738896493234,3.3144292634363675,0.5022422009249683,0.31146408839779005,False,False,False,,,,,ce
baseline_2c9010,Engineered 90/10 baseline,#88C0D0,fedprox μ=0.01,fedprox,0.01,42,0.20304650301885374,0.7314041290009269,3.602150828143112,0.47881246988286374,0.3143331734441898,False,False,False,,,,,ce
baseline_2c9010,Engineered 90/10 baseline,#88C0D0,fedavg,fedavg,0.0,42,0.2503502635535475,0.8796753343874225,3.5137783435936685,0.4972676779152441,0.34833526906697637,False,False,False,,,,,ce
baseline_2c9010,Engineered 90/10 baseline,#88C0D0,fedprox μ=0.01,fedprox,0.01,123,0.19791368488472053,0.7138551727993616,3.6069015299026104,0.5066099914859643,0.3241457264585688,False,False,False,,,,,ce
baseline_2c9010,Engineered 90/10 baseline,#88C0D0,fedprox μ=0.01,fedprox,0.01,456,0.1977398410105059,0.7267629229187643,3.67534897977465,0.4684949639939114,0.24829779274223718,False,False,False,,,,,ce
baseline_2c9010,Engineered 90/10 baseline,#88C0D0,fedavg,fedavg,0.0,123,0.24542760127730603,0.8653113688282599,3.5257296421625934,0.48808143747219124,0.3320562190267284,False,False,False,,,,,ce
baseline_2c9010,Engineered 90/10 baseline,#88C0D0,fedavg,fedavg,0.0,456,0.25145336270949814,0.8626516342442894,3.4306625489073426,0.48340739968967883,0.3116218845680602,False,False,False,,,,,ce
baseline_ladder_L4,Heterogeneity-ladder L4,#5E81AC,fedprox μ=0.01,fedprox,0.01,42,0.44310296578661335,1.6089072195591625,3.6310007916624274,0.4922805538101406,0.31232892017205743,False,False,False,,,,,ce
baseline_ladder_L4,Heterogeneity-ladder L4,#5E81AC,fedavg,fedavg,0.0,42,1.0865041728349583,2.928160520298262,2.695029244717916,0.5179682047532733,0.3879491270930339,False,False,False,,,,,ce
